track_id,agency,sub_agency,artist_name_en,track_name,release_date,track_type,youtube_video_id,artwork_url,selection_reason,status,platforms,first_seen,last_seen
trk_8aee380ff6f3,HYBE,BELIFT LAB,ILLIT,NOT CUTE ANYMORE,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tN3Q3dGo4NW12a3I3MiZzPWpwNiZ0PW0mdT0xajF2OTVrZms0NjAwJmk9MA/m470x470,chart:line|chart:spaceshower,active,line|spaceshower,2026-07-24,2026-08-07
trk_2cf61031d727,HYBE,BELIFT LAB,ILLIT,jellyous,,chart,utNShaAyNDU,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tMjM5a2Jjc2ttODU1aCZzPWpwNiZ0PW0mdT0xaGU1MTcyZzgzZmcwJmk9MA/m470x470,chart:line|youtube,active,line|youtube,2026-07-26,2026-08-05
trk_dcc8e95a9b16,HYBE,BELIFT LAB,ILLIT,時よ止まれ,,chart,,,chart:spaceshower,active,spaceshower,2026-07-17,2026-08-07
trk_ffd9d4ff4b3f,HYBE,BELIFT LAB,ILLIT,빌려온 고양이 (Do the Dance),,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/e4/bc/4d/e4bc4da3-0013-9949-8e54-0eede523f9d4/198704525001_Cover.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_7760eb21cddb,HYBE,HYBE America(Geffen Records),KATSEYE,Animal,,chart,EwVvxLLJfno,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e2/28/92/e22892a7-fe88-72cf-ecba-691030dfcf7e/26UMGIM41151.rgb.jpg/300x300bb.jpg,chart:apple|youtube,active,apple|youtube,2026-07-28,2026-07-31
trk_6ffc212b2517,HYBE,SOURCE MUSIC,LE SSERAFIM,BOOMPALA,,chart,zM8dtPTvxMU,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/b8/0c/98/b80c980c-52c6-a180-ff3e-2afaaab75fdd/823375107286_Cover.jpg/300x300bb.jpg,chart:apple|chart:line|chart:spaceshower|youtube,active,apple|line|spaceshower|youtube,2026-07-17,2026-08-07
trk_c7aa97925c88,HYBE,SOURCE MUSIC,LE SSERAFIM,CRAZY,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tNDRvdjN2dmI1czRlZSZzPWpwNiZ0PW0mdT0xaXRhMDhrbGs0dGcwJmk9MA/m470x470,chart:line,active,line,2026-07-26,2026-08-05
trk_99d225b0b558,HYBE,SOURCE MUSIC,LE SSERAFIM,ICONIC BY MISTAKE,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/79/22/91/79229159-769c-dd71-b5c3-2295e4fbb744/823375193074_Cover.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-07-31
trk_14db1c8d6313,HYBE,SOURCE MUSIC,LE SSERAFIM,Perfect Night,,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0xbGxoaWV1bWxrcjJqJnM9anA2JnQ9bSZ1PTFpdGEwOGttbzNwMDAmaT0w/m470x470,chart:line,active,line,2026-07-26,2026-08-05
trk_97077c6f6b53,HYBE,SOURCE MUSIC,LE SSERAFIM,SPAGHETTI (feat. j-hope of BTS),,chart,,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/cj0tMWo4cW1taTdqZDljayZzPWpwNiZ0PW0mdT0xaW50bW0zcTQzbmcwJmk9MA/m470x470,chart:line,active,line,2026-07-26,2026-08-04
trk_f56f09453227,HYBE,ADOR,NewJeans,Attention,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_d4b0cb96aa10,HYBE,ADOR,NewJeans,Bubble Gum,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/bf/68/ca/bf68ca64-4acd-543f-bc78-455f11f06105/196922889738_Cover.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_9e732db79ce5,HYBE,ADOR,NewJeans,Cookie,,chart,,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/4e/64/34/4e64344b-3ac6-c503-2c41-257a15401416/192641873096_Cover.jpg/300x300bb.jpg,chart:apple,active,apple,2026-07-26,2026-08-06
trk_b7dc211cb266,HYBE,ADOR,NewJeans,Ditto,,chart,Km71Rr9K-Bw,https://resource-jp-linemusic.line-scdn.net/r/musicjp/c/ce9a222e04805t10cddf22/m470x470,chart:line|youtube,active,line|youtube,2026-07-26,2026-08-05
