date,agency,sub_agency,artist_name,youtube_subscribers,youtube_total_views,youtube_video_count,youtube_channel_thumbnail,wikipedia_pv_ja,wikipedia_pv_en
2026-09-22,YG,YG Entertainment,G-Dragon,4270000,1493802359,112,https://yt3.ggpht.com/lwmgwa2stvbxCPXv0ROr1Eu54zGc9AIQ5GZVzliJoh3GIXIOEglrVDCFxHiP-Tf7Q65zbQsR=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,YG,YG Entertainment,BIGBANG,17000000,10668546585,795,https://yt3.ggpht.com/ytc/AIdro_n0J82ENLVh_wfaD7eOSjwfqloqGswqBxH4H-gg8PscRKw=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,YG,(移籍報道あり),iKON,8660000,3050747503,899,https://yt3.ggpht.com/Rydo3NnLlM_EfXkaY04nhpsEzzMaEy6bzFxT2jw9axtyPkNcVOA0nZuXPGRNAF_CG5mfvQrpSw=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,YG,YG Entertainment,Lee Hi,1870000,862882080,127,https://yt3.ggpht.com/evWQ8qHLVmFsLoW7d01jzSu7ndBuY1fN56kpFVnb7ZLoNif4UNvQWjUYsx4gySr-h3bxDuISKw=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,YG,THE BLACK LABEL,MEOVV,1610000,819113270,1143,https://yt3.ggpht.com/NxoBuYZdbffhyDihaiDFO_AOVsnj11EgjZKR4zGIFDSQEIijrzel3ZvE1x9MkvMsyFd1EG4ytVQ=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,aespa,8940000,6735668953,1953,https://yt3.ggpht.com/ViYqIYAJTZj5RmgEdO-ob0WUtUW3uMZrLq3J7mHL0EX-VZf5KBJTid75w7Ojq5lbBTq-sHYa-pY=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,NCT DREAM,7090000,2531521858,1412,https://yt3.ggpht.com/zueBt4nWmanBgh4z4W1-S5wbiOIESaXVad_TKTbeHlx97T8fKcbjyX-0iwGaPvZ8BQA1Esyybw=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,NCT 127,5660000,1637535140,1137,https://yt3.ggpht.com/l9D9SH_XlAECnTVZsvo0jM2o9GKmqjOVXQAWy-Xgy2EK8WLPVSODVP3I-bowl0ys1biuTXcfmg=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,RIIZE,2160000,1412633012,2132,https://yt3.ggpht.com/HonsPgcftnH9zgZRBanGOYB4fG_CH0GOoXOsmzkLcVfmA8a7D25fjT4RfeSfRjZYJt2R25RU=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,Red Velvet,5610000,2431135496,855,https://yt3.ggpht.com/tlpg9ruan35dhpWmHD_ZmEBt-fcTnF32GHIt7Yml_pW8kpRQInrbNL9oalMHpeD7QRq2xzQY8Dg=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,EXO,9920000,2083083020,959,https://yt3.ggpht.com/ujB2n35HjiBrD1UHWY6aLdZJ4-g01agipoXe2NFQaAbuEhnIPnJHbrfi9ScdgawZWSuKZkPGhg=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,SHINee,2640000,862660271,1054,https://yt3.ggpht.com/LBPuKoT9cqeGHOtQDFRWv-WBjhEUcTQScbBAtYck5an9cXzMS2BzRtzRa2-68eZquMI9y9e1QA=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,TVXQ,648000,291309570,395,https://yt3.ggpht.com/U2bnpmMomm03RUoHoUuJjE2PXthmReCUeWHfFPeXLblFrx1oZTo-BNEC5w7woOx-APRc4hVD0w=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,Girls' Generation,3050000,992458031,154,https://yt3.ggpht.com/IIcbRMbr0HCry1r0pYpVFuW-afpdtv7Jssy2FdoqxDekD8C0Rm8A96SizT03cTRz_3-aXnOAbQ=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,WayV,3600000,558132745,1226,https://yt3.ggpht.com/2vbp0NOkXjMXRQT26XzeGGeQ_15QpLhLQs5P6CtgV2Mh2jtZ-4Rmx_w4i4_1zd_iRaUt6-SL=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,SUPER JUNIOR,2530000,509137428,674,https://yt3.ggpht.com/1X83fnqpIzgsirP3WmEettqkwxKCgJZbV2s_HstEzAsKJW20CQB39i1GiuApyZkFuRIo9cCdW1Q=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,NCT U,283,11936,11,https://yt3.ggpht.com/HQSXtbEvsfNxQCXo25ihfiOGYQXcAgBuA7zOkU9qHs51VsUAvl9V2scqipJGoV8-vV2VDPdFBQ=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,NCT WISH,1550000,1235540534,1746,https://yt3.ggpht.com/EqnKRzZA8pdvyj4nO_6rtoJ_Z9N8cwwTbZoc_O_jMrz0R0PHDcbBff_CObDu8q9UhVDDJCzKAg=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,f(x),503000,299172386,3,https://yt3.ggpht.com/ytc/AIdro_kOLgR_0hKay77NzMIBmVx06UCUGmTwPOl9J_DU-glAtmc=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,SM,SM Entertainment,Hearts2Hearts,4020000,2149858839,1295,https://yt3.ggpht.com/x3ZcA_BPmZ52K1rO0SSP1phM_4KAf1ZYsK_YMwifpl8ihif_MZ4-ylTQBdRW1TJdtHOBcpAdsw=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,HYBE,PLEDIS Entertainment,TWS,2250000,1286949766,2335,https://yt3.ggpht.com/oLineVsrAbYEfl8hC4sPloPhni_9Bza78KCAvLsU5lx7jZDW6g1qog4JogzwAnhYRh2rn0t79w=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,HYBE,ABD,TUIDE,809000,136073489,126,https://yt3.ggpht.com/vNal1YSjhgQJ25_mgYjw8OKxXe3nmkvPE5pO4UkLe0SLylZeg3kozBfPwXrpfH-QWP3OBFUD=s88-c-k-c0x00ffffff-no-rj,,
2026-09-22,OTHER,Starship Entertainment,IVE,5250000,4892606757,2613,https://yt3.ggpht.com/_CyiM1Ob0gRzu4d3Y4-l1vJTyZSRld8OR7oJ9PmtLNdDMtN0koRRs_asLpIEsSGmKAwEKK_CTqs=s88-c-k-c0x00ffffff-no-rj,,
